Weather;Description;Temperature;Feels_Like;Temp_Min;Temp_Max;Pressure;Humidity;Visibility;Wind_Speed;Wind_Gust;Wind_Deg;Clouds_Level;Datetime;Sunrise;Sunset
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 295.85; 295.72; 293.18; 297.38;1014;59;10000; 2.06;0;0;0;1685516096;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 296.01; 295.87; 293.63; 296.95;1014;58;10000; 1.54;0;0;0;1685516666;1685504074;1685557622
 Clear; clear sky; 295.97; 295.82; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517199;1685504074;1685557622
 Clear; clear sky; 295.97; 295.82; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517199;1685504074;1685557622
 Clear; clear sky; 295.97; 295.82; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517199;1685504074;1685557622
 Clear; clear sky; 295.97; 295.82; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517199;1685504074;1685557622
 Clear; clear sky; 295.97; 295.82; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517199;1685504074;1685557622
 Clear; clear sky; 295.97; 295.82; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517199;1685504074;1685557622
 Clear; clear sky; 295.95; 295.8; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517429;1685504074;1685557622
 Clear; clear sky; 295.95; 295.8; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517429;1685504074;1685557622
 Clear; clear sky; 295.95; 295.8; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517429;1685504074;1685557622
 Clear; clear sky; 295.95; 295.8; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517429;1685504074;1685557622
 Clear; clear sky; 295.95; 295.8; 293.05; 297.1;1014;58;10000; 1.54;0;0;0;1685517429;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.13;296; 293.05; 297.51;1014;58;10000; 1.54;0;0;0;1685518109;1685504074;1685557622
 Clear; clear sky; 296.92; 296.84; 293.05; 297.66;1014;57;10000; 1.54;0;0;0;1685518846;1685504074;1685557622
